Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.62     0.00     7208     0.00     0.00  operator-<double, double, Matrix<double>, MatrixTranspose<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Store)0, (Data)0, (Data)1, (Shape)2>(Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2> const&, Indexable<double, MatrixTranspose<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Data)1, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.62     0.00     7200     0.00     0.00  fabs<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, MatrixTranspose<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Data)1, (Shape)2>, (Shape)2>, (Shape)2>, (Store)0, (Data)1, (Shape)2>, (Store)0, (Data)1, (Shape)2>(Indexable<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, MatrixTranspose<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Data)1, (Shape)2>, (Shape)2>, (Shape)2>, (Store)0, (Data)1, (Shape)2>, (Store)0, (Data)1, (Shape)2> const&)::{lambda(double const&)#1}::_FUN(double const&)
  0.00      0.62     0.00     5862     0.00     0.00  GaussianRF::Integrate(RadialFunction::Types2C, RadialFunction const*, Polarization const&, Polarization const&, CDcache&, Cluster const*) const
  0.00      0.62     0.00     5757     0.00     0.00  MatrixList<double>::LoadMatrix(long) const
  0.00      0.62     0.00     5756     0.00     0.00  MatrixList<double>::Add(SMatrix<double> const&)
  0.00      0.62     0.00     5595     0.00     0.00  operator*<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>(Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&, double const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.62     0.00     3928     0.00     0.00  GaussianRF::GetKinetic(Polarization const&, Polarization const&, GaussianCD const&) const
  0.00      0.62     0.00     3796     0.00     0.00  RNLM::Add(RNLM const&, double)
  0.00      0.62     0.00     3796     0.00     0.00  Triangle::Add(Triangle const&, double)
  0.00      0.62     0.00     3262     0.00     0.00  operator-<double, double, SMatrix<double>, SMatrix<double>, (Store)1, (Store)1, (Data)0, (Data)0, (Shape)2>(Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.62     0.00     3255     0.00     0.00  fabs<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Data)1, (Shape)2>(Indexable<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Data)1, (Shape)2> const&)::{lambda(double const&)#1}::_FUN(double const&)
  0.00      0.62     0.00     2262     0.00     0.00  UniqueID::~UniqueID()
  0.00      0.62     0.00     2213     0.00     0.00  UniqueID::UniqueID()
  0.00      0.62     0.00     1899     0.00     0.00  Molecule::end() const
  0.00      0.62     0.00     1899     0.00     0.00  Molecule::begin() const
  0.00      0.62     0.00     1898     0.00     0.00  RNLM::RNLM()
  0.00      0.62     0.00     1898     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_insert(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, unsigned long, double const&)
  0.00      0.62     0.00     1873     0.00     0.00  operator+<double, double, Matrix<double>, Matrix<double>, (Store)0, (Store)0, (Data)0, (Data)0, (Shape)2>(Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2> const&, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.62     0.00     1847     0.00     0.00  GaussianCD::GaussianCD(GaussianRF const&, GaussianRF const&)
  0.00      0.62     0.00     1847     0.00     0.00  GaussianCD::~GaussianCD()
  0.00      0.62     0.00     1847     0.00     0.00  Hermite2::Hermite2(double, Vector3D<double> const&, Vector3D<double> const&, int, int)
  0.00      0.62     0.00     1761     0.00     0.00  MatrixList<double>::Empty()
  0.00      0.62     0.00     1432     0.00     0.00  GaussianRF::Get2CenterIntegrals(RadialFunction::Types2C, BasisFunctionBlockPair&, SMatrix<double>&, Cluster const*, double) const
  0.00      0.62     0.00     1190     0.00     0.00  Vector<double>::SetLimits(VecLimits const&, bool)
  0.00      0.62     0.00     1190     0.00     0.00  VecLimits::Check() const
  0.00      0.62     0.00     1177     0.00     0.00  operator<<(std::ostream&, PMStreamableObject const&)
  0.00      0.62     0.00     1176     0.00     0.00  std::ostream& Write<double, Vector<double>, (Store)0, (Shape)1>(std::ostream&, ArrayIndexable<double, Vector<double>, (Store)0, (Shape)1> const&)
  0.00      0.62     0.00     1176     0.00     0.00  Vector<double>::Write(std::ostream&) const
  0.00      0.62     0.00     1173     0.00     0.00  operator>>(std::istream&, PMStreamableObject&)
  0.00      0.62     0.00     1172     0.00     0.00  Vector<double>::Read(std::istream&)
  0.00      0.62     0.00     1164     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.62     0.00      994     0.00     0.00  operator+<double, double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Val<double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Val<double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Store)1, (Data)1, (Data)1, (Shape)2>(Indexable<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Val<double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Data)1, (Shape)2> const&, Indexable<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Val<double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Data)1, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.62     0.00      927     0.00     0.00  virtual thunk to OrbitalImplementation::GetEigenEnergy() const
  0.00      0.62     0.00      882     0.00     0.00  MatrixList<double>::MatrixList()
  0.00      0.62     0.00      882     0.00     0.00  MatrixList<double>::~MatrixList()
  0.00      0.62     0.00      882     0.00     0.00  MatrixList<double>::~MatrixList()
  0.00      0.62     0.00      882     0.00     0.01  MatrixList<double>::Write(std::ostream&) const
  0.00      0.62     0.00      879     0.00     0.01  MatrixList<double>::Read(std::istream&)
