Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.70     0.00    16198     0.00     0.00  DirectMultiply<double, double, SMatrix<double>, SMatrix<double>, (Store)1, (Store)1, (Data)0, (Data)0, (Shape)2>(Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.70     0.00    11965     0.00     0.00  PMStreamableObject::~PMStreamableObject()
  0.00      0.70     0.00    11107     0.00     0.00  SMatrix<double>::SMatrix()
  0.00      0.70     0.00     8480     0.00     0.00  operator*<double, SymMatrixOuterProduct<double, Ref<double, Indexable<double, Vector<double>, (Store)0, (Data)0, (Shape)1>, (Shape)1> >, (Store)1, (Data)1, (Shape)2>(Indexable<double, SymMatrixOuterProduct<double, Ref<double, Indexable<double, Vector<double>, (Store)0, (Data)0, (Shape)1>, (Shape)1> >, (Store)1, (Data)1, (Shape)2> const&, double const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.70     0.00     7664     0.00     0.00  MatrixList<double>::LoadMatrix(long) const
  0.00      0.70     0.00     7663     0.00     0.00  MatrixList<double>::Add(SMatrix<double> const&)
  0.00      0.70     0.00     7208     0.00     0.00  operator-<double, double, Matrix<double>, MatrixTranspose<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Store)0, (Data)0, (Data)1, (Shape)2>(Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2> const&, Indexable<double, MatrixTranspose<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Data)1, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.70     0.00     7200     0.00     0.00  fabs<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, MatrixTranspose<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Data)1, (Shape)2>, (Shape)2>, (Shape)2>, (Store)0, (Data)1, (Shape)2>, (Store)0, (Data)1, (Shape)2>(Indexable<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, MatrixTranspose<double, Ref<double, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2>, (Shape)2> >, (Store)0, (Data)1, (Shape)2>, (Shape)2>, (Shape)2>, (Store)0, (Data)1, (Shape)2>, (Store)0, (Data)1, (Shape)2> const&)::{lambda(double const&)#1}::_FUN(double const&)
  0.00      0.70     0.00     5862     0.00     0.00  GaussianRF::Integrate(RadialFunction::Types2C, RadialFunction const*, Polarization const&, Polarization const&, CDcache&, Cluster const*) const
  0.00      0.70     0.00     5672     0.00     0.00  operator*<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>(Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&, double const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.70     0.00     3928     0.00     0.00  GaussianRF::GetKinetic(Polarization const&, Polarization const&, GaussianCD const&) const
  0.00      0.70     0.00     3796     0.00     0.00  RNLM::Add(RNLM const&, double)
  0.00      0.70     0.00     3796     0.00     0.00  Triangle::Add(Triangle const&, double)
  0.00      0.70     0.00     3262     0.00     0.00  operator-<double, double, SMatrix<double>, SMatrix<double>, (Store)1, (Store)1, (Data)0, (Data)0, (Shape)2>(Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
